,ID,ROW_ID,PURCHASING_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,VENDOR_CODE,VENDOR_NAME,NET_PRICE,CURRENCY
14,.1~15,15,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.82,EUR
15,.1~16,16,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.00,EUR
16,.1~17,17,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.02,EUR
17,.1~18,18,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.07,EUR
18,.1~19,19,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.99,EUR
19,.1~20,20,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.92,EUR
20,.1~21,21,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
21,.1~22,22,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
22,.1~23,23,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
23,.1~24,24,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
24,.1~25,25,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.82,EUR
25,.1~26,26,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.00,EUR
26,.1~27,27,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.02,EUR
27,.1~28,28,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.07,EUR
28,.1~29,29,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.99,EUR
29,.1~30,30,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.92,EUR
30,.1~31,31,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
31,.1~32,32,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
32,.1~33,33,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
33,.1~34,34,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
34,.1~35,35,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.82,EUR
35,.1~36,36,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.00,EUR
36,.1~37,37,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.02,EUR
37,.1~38,38,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.07,EUR
38,.1~39,39,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.99,EUR
39,.1~40,40,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.92,EUR
40,.1~41,41,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
41,.1~42,42,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
42,.1~43,43,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
43,.1~44,44,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
44,.1~45,45,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.82,EUR
45,.1~46,46,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.00,EUR
46,.1~47,47,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.02,EUR
47,.1~48,48,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.07,EUR
48,.1~49,49,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.99,EUR
49,.1~50,50,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.92,EUR
50,.1~51,51,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
51,.1~52,52,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
52,.1~53,53,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
53,.1~54,54,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
54,.1~55,55,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.75,EUR
55,.1~56,56,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,3.93,EUR
56,.1~57,57,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.19,EUR
57,.1~58,58,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.18,EUR
58,.1~59,59,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.94,EUR
59,.1~60,60,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.84,EUR
60,.1~61,61,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
61,.1~62,62,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
62,.1~63,63,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
63,.1~64,64,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
64,.1~65,65,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.75,EUR
65,.1~66,66,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,3.93,EUR
66,.1~67,67,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.19,EUR
67,.1~68,68,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.18,EUR
68,.1~69,69,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.94,EUR
69,.1~70,70,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.84,EUR
70,.1~71,71,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
71,.1~72,72,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
72,.1~73,73,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
73,.1~74,74,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
74,.1~75,75,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.75,EUR
75,.1~76,76,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,3.93,EUR
76,.1~77,77,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.19,EUR
77,.1~78,78,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.18,EUR
78,.1~79,79,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.94,EUR
79,.1~80,80,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.84,EUR
80,.1~81,81,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
81,.1~82,82,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
82,.1~83,83,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
83,.1~84,84,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
84,.1~85,85,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.75,EUR
85,.1~86,86,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,3.93,EUR
86,.1~87,87,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.19,EUR
87,.1~88,88,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.18,EUR
88,.1~89,89,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.94,EUR
89,.1~90,90,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.84,EUR
90,.1~91,91,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
91,.1~92,92,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
92,.1~93,93,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
93,.1~94,94,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
94,.1~95,95,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.75,EUR
95,.1~96,96,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,3.93,EUR
96,.1~97,97,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.19,EUR
97,.1~98,98,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.18,EUR
98,.1~99,99,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.94,EUR
99,.1~100,100,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.84,EUR
100,.1~101,101,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
101,.1~102,102,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
102,.1~103,103,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
103,.1~104,104,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
104,.1~105,105,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.83,EUR
105,.1~106,106,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,3.96,EUR
106,.1~107,107,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.25,EUR
107,.1~108,108,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.23,EUR
108,.1~109,109,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.92,EUR
109,.1~110,110,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.78,EUR
110,.1~111,111,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
111,.1~112,112,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
112,.1~113,113,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
113,.1~114,114,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
114,.1~115,115,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.83,EUR
115,.1~116,116,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,3.96,EUR
116,.1~117,117,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.25,EUR
117,.1~118,118,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.23,EUR
118,.1~119,119,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.92,EUR
119,.1~120,120,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.78,EUR
120,.1~121,121,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
121,.1~122,122,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
122,.1~123,123,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
123,.1~124,124,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
124,.1~125,125,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.83,EUR
125,.1~126,126,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,3.96,EUR
126,.1~127,127,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.25,EUR
127,.1~128,128,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.23,EUR
128,.1~129,129,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.92,EUR
129,.1~130,130,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.78,EUR
130,.1~131,131,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
131,.1~132,132,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
132,.1~133,133,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
133,.1~134,134,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
134,.1~135,135,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.83,EUR
135,.1~136,136,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,3.96,EUR
136,.1~137,137,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.25,EUR
137,.1~138,138,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.23,EUR
138,.1~139,139,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.92,EUR
139,.1~140,140,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.78,EUR
140,.1~141,141,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
141,.1~142,142,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
142,.1~143,143,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
143,.1~144,144,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
144,.1~145,145,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.83,EUR
145,.1~146,146,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,3.96,EUR
146,.1~147,147,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.25,EUR
147,.1~148,148,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.23,EUR
148,.1~149,149,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.92,EUR
149,.1~150,150,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.78,EUR
150,.1~151,151,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
151,.1~152,152,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
152,.1~153,153,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
153,.1~154,154,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
154,.1~155,155,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.87,EUR
155,.1~156,156,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.01,EUR
156,.1~157,157,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.27,EUR
157,.1~158,158,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.34,EUR
158,.1~159,159,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.90,EUR
159,.1~160,160,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.75,EUR
160,.1~161,161,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
161,.1~162,162,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
162,.1~163,163,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
163,.1~164,164,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
164,.1~165,165,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.87,EUR
165,.1~166,166,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.01,EUR
166,.1~167,167,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.27,EUR
167,.1~168,168,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.34,EUR
168,.1~169,169,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.90,EUR
169,.1~170,170,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.75,EUR
170,.1~171,171,D3,01,18,01/18,2024-01-18T00:00:00,4,18,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
171,.1~172,172,D3,01,18,01/18,2024-01-18T00:00:00,4,18,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
172,.1~173,173,D3,01,18,01/18,2024-01-18T00:00:00,4,18,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
173,.1~174,174,D3,01,18,01/18,2024-01-18T00:00:00,4,18,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
174,.1~175,175,D3,01,18,01/18,2024-01-18T00:00:00,4,18,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.87,EUR
175,.1~176,176,D3,01,18,01/18,2024-01-18T00:00:00,4,18,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.01,EUR
